# format=DD-MM-AAAA;motif

01-01-2014;Jour de l'an
01-05-2014;Fête du travail
08-05-2014;Fête de la victoire
14-07-2014;Fête nationale
15-08-2014;Assomption
01-11-2014;Toussaint
02-11-2014;Fête des morts
11-11-2014;Armistice 1918
20-12-2014;Abolition de l'esclavage
25-12-2014;Noël
18-04-2014;Vendredi saint
20-04-2014;Pâques
21-04-2014;Lundi de pâques
29-05-2014;Ascension
08-06-2014;Pentecôte
09-06-2014;Lundi de Pentecôte

01-01-2013;Jour de l'an
01-05-2013;Fête du travail
08-05-2013;Fête de la victoire
14-07-2013;Fête nationale
15-08-2013;Assomption
01-11-2013;Toussaint
02-11-2013;Fête des morts
11-11-2013;Armistice 1918
20-12-2013;Abolition de l'esclavage
25-12-2013;Noël
29-03-2013;Vendredi saint
31-03-2013;Pâques
01-04-2013;Lundi de pâques
09-05-2013;Ascension
19-05-2013;Pentecôte
20-05-2013;Lundi de Pentecôte

01-01-2012;Jour de l'an
01-05-2012;Fête du travail
08-05-2012;Fête de la victoire
14-07-2012;Fête nationale
15-08-2012;Assomption
01-11-2012;Toussaint
02-11-2012;Fête des morts
11-11-2012;Armistice 1918
20-12-2012;Abolition de l'esclavage
25-12-2012;Noël
06-04-2012;Vendredi saint
09-04-2012;Lundi de pâques
17-05-2012;Ascension
27-05-2012;Pentecôte
28-05-2012;Lundi de Pentecôte

01-01-2011;Jour de l'an
01-05-2011;Fête du travail
08-05-2011;Fête de la victoire
14-07-2011;Fête nationale
15-08-2011;Assomption
01-11-2011;Toussaint
02-11-2011;Fête des morts
20-12-2011;Abolition de l'esclavage
25-12-2011;Noël
24-04-2011;Vendredi saint
25-04-2011;Lundi de pâques
02-06-2011;Ascension
12-06-2011;Pentecôte
13-06-2011;Lundi de Pentecôte
